fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality
7;,27;,36;20,7;,045;45;170;1,001;3;,45;8,8;4
6,3;,3;,34;1,6;,049;14;132;,994;3,3;,49;9,5;4
8,1;,28;,4;6,9;,05;30;97;,9951;3,26;,44;10,1;4
8,1;,28;,4;6,9;,05;30;97;,9951;3,26;,44;10,1;4
6,2;,32;,16;7;,045;30;136;,9949;3,18;,47;9,6;4
7;,27;,36;20,7;,045;45;170;1,001;3;,45;8,8;4
6,3;,3;,34;1,6;,049;14;132;,994;3,3;,49;9,5;4
8,1;,22;,43;1,5;,044;28;129;,9938;3,22;,45;11;4
8,1;,27;,41;1,45;,033;11;63;,9908;2,99;,56;12;3
8,6;,23;,4;4,2;,035;17;109;,9947;3,14;,53;9,7;3
7,9;,18;,37;1,2;,04;16;75;,992;3,18;,63;10,8;3
6,6;,16;,4;1,5;,044;48;143;,9912;3,54;,52;12,4;5
6,6;,17;,38;1,5;,032;28;112;,9914;3,25;,55;11,4;5
6,3;,48;,04;1,1;,046;30;99;,9928;3,24;,36;9,6;4
6,2;,66;,48;1,2;,029;29;75;,9892;3,33;,39;12,8;6
7,4;,34;,42;1,1;,033;17;171;,9917;3,12;,53;11,3;4
6,2;,66;,48;1,2;,029;29;75;,9892;3,33;,39;12,8;6
6,4;,31;,38;2,9;,038;19;102;,9912;3,17;,35;11;5
6,6;,27;,41;1,3;,052;16;142;,9951;3,42;,47;10;4
7;,25;,32;9;,046;56;245;,9955;3,25;,5;10,4;4
7;,28;,39;8,7;,051;32;141;,9961;3,38;,53;10,5;4
7,4;,27;,48;1,1;,047;17;132;,9914;3,19;,49;11,6;4
8,5;,24;,39;10,4;,044;20;142;,9974;3,2;,53;10;4
8,3;,14;,34;1,1;,042;7;47;,9934;3,47;,4;10,2;4
7,4;,25;,36;2,05;,05;31;100;,992;3,19;,44;10,8;4
6,2;,12;,34;1,5;,045;43;117;,9939;3,42;,51;9;4
5,8;,27;,2;14,95;,044;22;179;,9962;3,37;,37;10,2;3
7,3;,28;,43;1,7;,08;21;123;,9905;3,19;,42;12,8;3
6,5;,39;,23;5,4;,051;25;149;,9934;3,24;,35;10;3
7;,33;,32;1,2;,053;38;138;,9906;3,13;,28;11,2;4
7,3;,24;,39;17,95;,057;45;149;,9999;3,21;,36;8,6;3
7,3;,24;,39;17,95;,057;45;149;,9999;3,21;,36;8,6;3
6,7;,24;,39;2,9;,173;63;157;,9937;3,1;,34;9,4;4
7;,31;,26;7,4;,069;28;160;,9954;3,13;,46;9,8;4
6,2;,45;,26;4,4;,063;63;206;,994;3,27;,52;9,8;2
6,2;,46;,25;4,4;,066;62;207;,9939;3,25;,52;9,8;3
7;,31;,26;7,4;,069;28;160;,9954;3,13;,46;9,8;4
7,2;,19;,31;1,6;,062;31;173;,9917;3,35;,44;11,7;4
6,6;,25;,29;1,1;,068;39;124;,9914;3,34;,58;11;5
6,2;,16;,33;1,1;,057;21;82;,991;3,32;,46;10,9;5
6,4;,18;,35;1;,045;39;108;,9911;3,31;,35;10,9;4
6,8;,2;,59;,9;,147;38;132;,993;3,05;,38;9,1;4
6,9;,25;,35;1,3;,039;29;191;,9908;3,13;,52;11;4
6;,19;,26;12,4;,048;50;147;,9972;3,3;,36;8,9;4
6,6;,38;,15;4,6;,044;25;78;,9931;3,11;,38;10,2;4
7,4;,2;,36;1,2;,038;44;111;,9926;3,36;,34;9,9;4
6,8;,22;,24;4,9;,092;30;123;,9951;3,03;,46;8,6;4
6;,19;,26;12,4;,048;50;147;,9972;3,3;,36;8,9;4
7;,47;,07;1,1;,035;17;151;,991;3,02;,34;10,5;3
6,6;,38;,15;4,6;,044;25;78;,9931;3,11;,38;10,2;4
6,2;,35;,03;1,2;,064;29;120;,9934;3,22;,54;9,1;3
6,4;,26;,24;6,4;,04;27;124;,9903;3,22;,49;12,6;5
6,7;,25;,13;1,2;,041;81;174;,992;3,14;,42;9,8;3
6,7;,23;,31;2,1;,046;30;96;,9926;3,33;,64;10,7;6
7,4;,24;,29;10,1;,05;21;105;,9962;3,13;,35;9,5;3
6,2;,27;,43;7,8;,056;48;244;,9956;3,1;,51;9;4
6,8;,3;,23;4,6;,061;50,5;238,5;,9958;3,32;,6;9,5;3
6;,27;,28;4,8;,063;31;201;,9964;3,69;,71;10;3
8,6;,23;,46;1;,054;9;72;,9941;2,95;,49;9,1;4
7,4;,24;,29;10,1;,05;21;105;,9962;3,13;,35;9,5;3
7,1;,18;,36;1,4;,043;31;87;,9898;3,26;,37;12,7;5
6,7;,54;,28;5,4;,06;21;105;,9949;3,27;,37;9;3
6,8;,22;,31;1,4;,053;34;114;,9929;3,39;,77;10,6;4
7,3;,22;,3;8,2;,047;42;207;,9966;3,33;,46;9,5;4
7,1;,43;,61;11,8;,045;54;155;,9974;3,11;,45;8,7;3
7,1;,44;,62;11,8;,044;52;152;,9975;3,12;,46;8,7;4
7,2;,39;,63;11;,044;55;156;,9974;3,09;,44;8,7;4
6,8;,25;,31;13,3;,05;69;202;,9972;3,22;,48;9,7;4
7,1;,43;,61;11,8;,045;54;155;,9974;3,11;,45;8,7;3
7,1;,44;,62;11,8;,044;52;152;,9975;3,12;,46;8,7;4
7,2;,39;,63;11;,044;55;156;,9974;3,09;,44;8,7;4
6,1;,27;,43;7,5;,049;65;243;,9957;3,12;,47;9;3
6,9;,24;,33;1,7;,035;47;136;,99;3,26;,4;12,6;5
6,9;,21;,33;1,8;,034;48;136;,9899;3,25;,41;12,6;5
7,5;,17;,32;1,7;,04;51;148;,9916;3,21;,44;11,5;5
7,1;,26;,29;12,4;,044;62;240;,9969;3,04;,42;9,2;4
6;,34;,66;15,9;,046;26;164;,9979;3,14;,5;8,8;4
8,6;,265;,36;1,2;,034;15;80;,9913;2,95;,36;11,4;5
9,8;,36;,46;10,5;,038;4;83;,9956;2,89;,3;10,1;2
6;,34;,66;15,9;,046;26;164;,9979;3,14;,5;8,8;4
7,4;,25;,37;13,5;,06;52;192;,9975;3;,44;9,1;3
7,1;,12;,32;9,6;,054;64;162;,9962;3,4;,41;9,4;3
6;,21;,24;12,1;,05;55;164;,997;3,34;,39;9,4;3
7,5;,305;,4;18,9;,059;44;170;1;2,99;,46;9;3
7,4;,25;,37;13,5;,06;52;192;,9975;3;,44;9,1;3
7,3;,13;,32;14,4;,051;34;109;,9974;3,2;,35;9,2;4
7,1;,12;,32;9,6;,054;64;162;,9962;3,4;,41;9,4;3
7,1;,23;,35;16,5;,04;60;171;,999;3,16;,59;9,1;4
7,1;,23;,35;16,5;,04;60;171;,999;3,16;,59;9,1;4
6,9;,33;,28;1,3;,051;37;187;,9927;3,27;,6;10,3;3
7,2;,31;,5;13,3;,056;68;195;,9982;3,01;,47;9,2;3
6,7;,41;,34;9,2;,049;29;150;,9968;3,22;,51;9,1;3
6,7;,41;,34;9,2;,049;29;150;,9968;3,22;,51;9,1;3
5,5;,485;0;1,5;,065;8;103;,994;3,63;,4;9,7;2
6;,31;,24;3,3;,041;25;143;,9914;3,31;,44;11,3;4
7;,14;,4;1,7;,035;16;85;,9911;3,19;,42;11,8;4
7,2;,31;,5;13,3;,056;68;195;,9982;3,01;,47;9,2;3
7,3;,32;,48;13,3;,06;57;196;,9982;3,04;,5;9,2;3
5,9;,36;,04;5,7;,046;21;87;,9934;3,22;,51;10,2;3
7,8;,24;,32;12,2;,054;42;138;,9984;3,01;,54;8,8;3
7,4;,16;,31;6,85;,059;31;131;,9952;3,29;,34;9,7;3
6,9;,19;,28;5;,058;14;146;,9952;3,29;,36;9,1;4
6,7;,19;,36;1,1;,026;63;143;,9912;3,27;,48;11;4
7,4;,39;,23;7;,033;29;126;,994;3,14;,42;10,5;3
6,5;,24;,32;7,6;,038;48;203;,9958;3,45;,54;9,7;5
6,1;,3;,56;2,8;,044;47;179;,9924;3,3;,57;10,9;5
6,1;,3;,56;2,7;,046;46;184;,9924;3,31;,57;10,9;4
6,5;,24;,32;7,6;,038;48;203;,9958;3,45;,54;9,7;5
6,5;,425;,4;13,1;,038;59;241;,9979;3,23;,57;9;3
6,6;,24;,27;15,8;,035;46;188;,9982;3,24;,51;9,2;3
6,7;,27;,31;15,7;,036;44;179;,9979;3,26;,56;9,6;3
8,2;,23;,4;1,2;,027;36;121;,992;3,12;,38;10,7;4
7,1;,37;,67;10,5;,045;49;155;,9975;3,16;,44;8,7;3
6,8;,19;,36;1,9;,035;30;96;,9917;3,15;,54;10,8;5
8,1;,28;,39;1,9;,029;18;79;,9923;3,23;,52;11,8;4
6,3;,31;,34;2,2;,045;20;77;,9927;3,3;,43;10,2;3
7,1;,37;,67;10,5;,045;49;155;,9975;3,16;,44;8,7;3
7,9;,21;,4;1,2;,039;38;107;,992;3,21;,54;10,8;4
8,5;,21;,41;4,3;,036;24;99;,9947;3,18;,53;9,7;4
